id	pop	urban	black	white	asian	native	highschool	college	income	age
6043	17645	0	1.28	88.08	1.27	3.07	90	20.4	35269	50.6
6045	87409	54.77	0.65	82.77	1.76	4.01	83.2	22.7	28651	42.3
6047	265001	85.73	3.36	58.58	7.49	0.70	67	12.5	26423	30.6
6049	9033	30.04	0.91	90.24	1.44	4.20	84.3	15.6	25962	47.1
6051	14051	54.17	0.64	84.81	1.19	2.73	87.4	29.9	30100	38.9
6053	430201	90.18	2.67	69.88	5.86	0.74	70.7	23.4	31166	33.7
6055	140823	86.6	2.09	73.23	7.76	0.87	82.2	30	39959	40.7
6057	98639	57.87	0.50	92.23	1.30	1.14	94.1	31.9	34742	49.5
6059	3132211	99.86	1.64	63.05	19.22	0.41	83.3	36	41479	37.3
6061	370571	86.21	1.48	83.23	6.71	0.53	93	34.1	47428	41.5
6063	18754	25.98	0.14	89.58	0.91	2.22	92.2	19.8	32112	51.7
6065	2323892	95.38	6.24	63.27	6.16	0.87	79.2	20.5	34777	34.8
6067	1479300	97.94	9.90	59.25	15.16	0.75	85.1	27.8	37883	35.7
6069	58051	76	0.76	83.83	2.61	0.77	73.8	18.3	35105	35.1
6071	2106754	95.27	8.58	62.02	6.76	0.83	77.5	18.4	34958	32.7
6073	3253356	96.7	5.04	71.01	11.57	0.66	85.3	34.1	39517	35.3
6075	850282	100	5.36	48.14	33.85	0.34	85.7	51.2	47405	38.4
6077	714860	91.53	6.98	56.38	14.90	0.63	76.7	17.5	35066	33.7
6079	278680	83.4	1.98	85.45	3.72	0.70	88.2	30.6	36190	39
6081	754748	98.11	2.46	53.59	27.02	0.32	88.5	44	48664	39.5
6083	439395	94.98	2.02	74.12	5.31	0.95	80.1	31	33102	33.7
6085	1885056	98.92	2.55	46.88	34.38	0.46	86.3	45.3	50789	36.8
6087	270931	87.96	0.88	79.33	4.49	0.59	84.1	37.3	37794	37
6089	179228	70.71	0.98	87.01	2.94	2.42	88.1	20	30947	42.3
